person_id	field	value_or_angle	status	slug	proposed	decision
H03203	photo_url	https://res.cloudinary.com/dc5clrqtw/image/upload/v1785006911/Screenshot_2026-07-25_at_12.15.01_PM_e9hhd6.png
TD0050	bio_blurb	Watercolorist and museum benefactor
TD0050	education	institution_id="INST037" dates="1905"
TD0050	career	role="Watercolorist"
TD0050	field_set	cross_connections[0].link_text=Timothy Wadsworth Stanley
TD0050	field_set	cross_connections[0].display_label=was her father-in-law, and built the Stanley rule and level works
X02140	field_set	cross_connections[2].link_text=Helen Hooker Talcott Stanley
TD0050	nb_replace	old="Major benefactor of the New Britain Museum" header="Her husband's name is on a museum wing" body="When Philip Stanley died in 1963 she gave the New Britain Museum of American Art a gallery in his name. It stands at the top of the stairs — the Helen T. and Philip B. Stanley Gallery — in the museum her own father had founded sixty years earlier." category=arts
TD0050	nb_replace	old="Watercolorist" header="Her grandson called the museum her real love" body="She painted in watercolour herself, and gave the museum a lifetime rather than a single gift. Her grandson Sam Stout put it plainly years afterward: that museum was the real love of his grandmother's life." category=character
TD0050	nb_replace	old="Her name 'Helen Hooker Talcott' honors both" header="Two Hartford families are in her name" body="Helen Hooker Talcott was named for both of the lines she came from — the Hookers who founded Hartford and the Talcotts who settled beside them. Marrying a Stanley of New Britain, she joined a third." category=family
TD0050	nb_replace	old="Through her descent and marriage" header="Vassar first, then a Stanley of New Britain" body="She took her degree at Vassar in 1905, as her elder sister Florence had two years before her. In February of 1911 she married Philip Bartholomew Stanley at New Britain, joining the family whose name went onto the tools." category=marriage
TD0050	nb_replace	old="Gave father's museum a wing in husband's name" header="The founder's family never left the board" body="From the year her father endowed it, someone of the family sat on the museum's board, and she was the hinge between the founding and everything that came after. Her son Talcott served as an honorary trustee; a granddaughter-in-law was still a board member emeritus a century on." category=legacy
TD0050	nb_approved	header="She buried two daughters before the war ended" body="Elizabeth died in 1930, at nine years old. Jeanne, the eldest, was twenty-nine when she died in 1942. Frances and Talcott outlived their mother, and it was through Frances that the family kept its place at the museum." category=death
TD0050	field_set	research_notes=Rebuilt 2026-07-25 from migrated historical_significance fragments. Vassar 1905 per the Hazen genealogy (entry 669), which also gives sister Florence Hazen Talcott (TD0055) as Vassar 1903 and the marriage as New Britain, 25 Feb 1911, to Philip Bartholomew Stanley (b. Granby CT 18 Jan 1883), son of Timothy W. and Theressa Rebecca (Bartholomew) Stanley. NAME VARIANT: the man is Philip (one l) per TD0052 and the NBMAA institution note; the Hartford Courant quotes the gallery as the Helen T. and Phillip B. Stanley Gallery (two l). Used Philip throughout. Four children: Jeanne (TD0073, 1913-1942), Frances (TD0053, 1915-2009), Talcott (TD0074, 1918-2008, NBMAA honorary trustee), Elizabeth (TD0075, 1921-1930). Board continuity per the Courant: members of the founder's family served on the NBMAA board from 1903 onward, most recently Donna Stout, board member emeritus. NOT her second husband: David Gilchrist Gordon married Helen ROCKWELL Hazen (1853-1920), her mother's sister — a different Helen. No second marriage is recorded for TD0050; Philip died 1963 and she died 1971.
