person_id,field,value_or_angle,status,slug,proposed,decision
HD5925,photo_url,https://res.cloudinary.com/dc5clrqtw/image/upload/v1786767412/Lemuel_Fox_Woodward__1857_1931_plofed.png,OK photo set: https://res.cloudinary.com/dc5clrqtw/image/uploa,/person/lemuel-woodward-1857,,
HD5925,birth_date,1857-04-26,OK birth set 1857-04-26,/person/lemuel-woodward-1857,,
HD5925,death_date,1931-11-12,OK death set 1931-11-12,/person/lemuel-woodward-1857,,
HD5925,cemetery,cem_id=CEM778,OK cemetery linked CEM778 'Worcester Rural Cemetery' +gps; burial wired (bidirectional),/person/lemuel-woodward-1857,,
HD5925,bio_blurb,"Surgeon, city physician, amateur ornithologist",OK bio_blurb set,/person/lemuel-woodward-1857,,
HD5925,tag_add,physician,OK tag 'physician' added,/person/lemuel-woodward-1857,,
HD5925,education,"school_name=""Lawrence Scientific School"" type=college",OK education record appended,/person/lemuel-woodward-1857,,
HD5925,education,institution_id=INST171 type=medical dates=1881,OK education record appended,/person/lemuel-woodward-1857,,
HD5925,nb_approved,"header=""Worcester called him Doctor Lem"" body=""Woodward took his degree from Harvard Medical School in 1881 and practised in Worcester as a surgeon and city physician, the third generation of his family to doctor the town. Patients and neighbours knew him as Doctor Lem."" category=career",OK nb_approved appended verbatim: 'Worcester called him Doctor Lem',/person/lemuel-woodward-1857,,
HD5925,nb_approved,"header=""His ambition was the year's first mourning dove"" body=""Woodward kept a nature calendar and a record of bird migration, logging the red-winged blackbirds and swallows as they came north and the nighthawks that nested on the roofs around his house. His standing ambition was to be the first man each spring to report the mourning dove's return."" category=character",OK nb_approved appended verbatim: 'His ambition was the year's first mourning dove',/person/lemuel-woodward-1857,,
HD5925,nb_approved,"header=""A trip to California was the prescription"" body=""In 1884 the Worcester physician Thomas Hovey Gage was treating John Washburn's recurring mental illness with long journeys, and sent Woodward, three years out of medical school, to take him to California. Woodward wrote back through the spring on how his patient was standing the trip."" category=science",OK nb_approved appended verbatim: 'A trip to California was the prescription',/person/lemuel-woodward-1857,,
HD5925,nb_approved,"header=""Elected to the bird club at nineteen"" body=""Woodward was made a resident member of the Nuttall Ornithological Club in 1876, among its early members, resigned three years later, and came back in 1880 as a corresponding member. He joined the American Ornithologists' Union in 1917 and led the Worcester Natural History Society as president and then trustee until his death."" category=legacy",OK nb_approved appended verbatim: 'Elected to the bird club at nineteen',/person/lemuel-woodward-1857,,
HD5925,nb_approved,"header=""He stroked Harvard's crew and hung bird boxes"" body=""At Harvard he stroked the varsity crew; at home he rowed with the Quinsigamond boat club and ran swimming classes for the boys of Worcester on the lake. He put up bird boxes on the club's grounds."" category=sports",OK nb_approved appended verbatim: 'He stroked Harvard's crew and hung bird boxes',/person/lemuel-woodward-1857,,
HD5925,cc,"related=HD1604 link=""Eugene Pintard Bicknell"" label=""helped found the ornithologists union Woodward joined at sixty""",OK cc->HD1604 added; FLAG needs reciprocal cc row on HD1604,/person/lemuel-woodward-1857,,
HD1604,cc,"related=HD5925 link=""Dr. Lemuel Fox Woodward"" label=""kept a Worcester bird calendar as Bicknell kept his diaries""",OK cc->HD5925 added (reciprocal present),/person/eugene-bicknell-1859,,
HD5925,cc,"related=I00322 link=""Dr. Leonard Cutler Sanford"" label=""was a New Haven surgeon whose real life was birds, as Woodward's was""",OK cc->I00322 added; FLAG needs reciprocal cc row on I00322,/person/lemuel-woodward-1857,,
I00322,cc,"related=HD5925 link=""Dr. Lemuel Fox Woodward"" label=""was a Worcester surgeon whose real life was birds, as Sanford's was""",OK cc->HD5925 added (reciprocal present),/person/leonard-sanford-1868,,
