person_id	field	value_or_angle	status	slug	proposed	decision
HD7861	career_set	"index=1 role=""Assistant Secretary"" organization=""U.S. Department of Transportation"" start_year=1975 notes=""Senate-confirmed 1975; Congressional and intergovernmental relations."""	OK career[1] updated in place	/person/roger-hooker-1941		
H04636	field_set	marriages[0].date_year=1935	OK set marriages[0].date_year = 1935	/person/roger-hooker-1897		
I02493	field_set	marriages[0].date_year=1935	OK set marriages[0].date_year = 1935	/person/grace-garden-1908		
H01789	career	"role=""Farmer"" location=""West Hartford, Connecticut"""	OK career appended -- WARN: no start_year, row will NOT render	/person/seth-talcott-1801		
H01789	nb_approved	"header=""He died twelve days after his son's wedding"" body=""His son John married Jane Croswell Goodwin on the thirteenth of September, 1848, at West Hartford. Seth was dead at his own farm twelve days later, at forty-seven."" category=death"	OK nb_approved appended verbatim: 'He died twelve days after his son's wedding'	/person/seth-talcott-1801		
H03203	nb_remove	Compiler's generation 8 ancestor on the maternal Talcott-Hoo…	OK NB 'Compiler's generation 8 ancestor on the maternal Talcott-Hoo…' removed (explicit)	/person/john-talcott-1824		
H03203	nb_replace	"old=""Founded the New Britain Museum of American Art"" header=""His fund founded a museum of American art"" body=""In 1903 he gave the New Britain Institute a fund restricted to original modern oil paintings — figure, landscape and genre subjects. Advised from New York that American pictures could still be had whole and cheap, the trustees bought American, beginning with a landscape by George Inness. What grew out of that restriction is the oldest museum in the country devoted solely to American art."" category=legacy"	OK nb_replace: 'Founded the New Britain Museum of American Art' -> 'His fund founded a museum of American art' placed verbatim in place	/person/john-talcott-1824		
H03203	nb_replace	"old=""Created the Talcott Art Fund in 1903"" header=""He sat behind Frederic Church at school"" body=""At Hartford Public High School he sat behind Frederic Edwin Church and set down a verdict the family still repeats: “He was not a very good student. He was always looking out the window and drawing.” The boy at the window became the great painter of the Hudson River School, and Talcott spent his last years endowing the purchase of American pictures."" category=character"	OK nb_replace: 'Created the Talcott Art Fund in 1903' -> 'He sat behind Frederic Church at school' placed verbatim in place	/person/john-talcott-1824		
H03203	nb_replace	"old=""One of the original incorporators of the New"" header=""Hooks and eyes paid for the paintings"" body=""He came to New Britain in 1851 and went into the plainest trade a manufacturing town had — hooks and eyes, and knit underwear. He ran the New Britain Knitting Company as treasurer and general manager for fourteen years, then founded the American Hosiery Company with his brother James and took its presidency in 1885. At the St. Louis fair of 1904 its goods carried off a silver medal."" category=business"	OK nb_replace: 'One of the original incorporators of the New' -> 'Hooks and eyes paid for the paintings' placed verbatim in place	/person/john-talcott-1824		
H03203	nb_replace	"old=""Classmate of Frederic Edwin Church at Hartford Public"" header=""A free reading room for the factory hands"" body=""He was one of the original incorporators of the New Britain Institute, which set out to put a free reading room and a library within reach of the men who worked the city's factories and the immigrant families arriving to fill them. He served on its building and finance committees, and was its president without a break from 1882 until he died."" category=social_reform"	OK nb_replace: 'Classmate of Frederic Edwin Church at Hartford Public' -> 'A free reading room for the factory hands' placed verbatim in place	/person/john-talcott-1824		
H03203	nb_replace	"old=""Yale College 1846"" header=""Illness kept him from play, so he read"" body=""A serious illness in boyhood left him unable to join the other children at their games, and he turned to books instead. He was salutatorian of the Yale class of 1846, read law in a Hartford office, and tutored at Middlebury and then at Yale. Ill health kept him from ever practicing, and he went into business instead."" category=education"	OK nb_replace: 'Yale College 1846' -> 'Illness kept him from play, so he read' placed verbatim in place	/person/john-talcott-1824		
