person_id	field	value_or_angle	status	slug	proposed	decision
HD8161	nb_replace	"old=""He met his wife and his firm at Yale"" header=""He met his wife and firm at Yale"" body=""He took his bachelor's and his law degree at Yale, where he met Jane Skelton. They married in 1951 and moved to Lewiston, where he joined his father-in-law's firm, Skelton and Mahon — which carries his name today as Skelton, Taintor and Abbott."" category=career"	OK nb_replace: 'He met his wife and his firm at Yale' -> 'He met his wife and firm at Yale' placed verbatim in place	/person/frederick-taintor-1923		
X00639	notable_blurb	Chicago judge and Republican Party organizer	OK notable_blurb set	/person/elliott-anthony-1827		
X00639	education_set	"index=0 school_name=""Cortland Academy"" dates=""Enrolled 1845"" notes=null degree_or_field=null class_year=null"	OK education[0] updated in place	/person/elliott-anthony-1827		
X00639	education_set	"index=1 school_name=""Hamilton College"" dates=""Class of 1850"" notes=""Graduated with high honors; afterward read law under Prof. Theodore W. Dwight."" degree_or_field=null class_year=null"	OK education[1] updated in place	/person/elliott-anthony-1827		
X00639	field_set	cross_connections[0].display_label=was his wife's brother, and became the twelfth president of Yale	"OK set cross_connections[0].display_label = ""was his wife's brother, and became the twelfth president of Yale"""	/person/elliott-anthony-1827		
X00639	field_set	cross_connections[1].display_label=chaired the 1860 convention while he was organizing Illinois	OK set cross_connections[1].display_label = 'chaired the 1860 convention while he was organizing Illinois'	/person/elliott-anthony-1827		
HD0613	field_set	cross_connections[0].display_label=built the Republican organization in Illinois and led it for decades	OK set cross_connections[0].display_label = 'built the Republican organization in Illinois and led it for decades'	/person/george-ashmun-1804		
X00639	field_set	cross_connections[2].display_label=put his Springfield paper behind the new party in 1855	OK set cross_connections[2].display_label = 'put his Springfield paper behind the new party in 1855'	/person/elliott-anthony-1827		
X02841	field_set	cross_connections[2].display_label=organized the new party in Illinois while he printed for it	OK set cross_connections[2].display_label = 'organized the new party in Illinois while he printed for it'	/person/samuel-bowles-1826		
X02841	field_set	cross_connections[4].display_label=chaired the convention that nominated Lincoln	OK set cross_connections[4].display_label = 'chaired the convention that nominated Lincoln'	/person/samuel-bowles-1826		
X00639	nb_replace	"old=""Read law in Dwight family, married in"" header=""He ran the Illinois party for twenty-five years"" body=""Raised a Quaker in upstate New York, he was among the Chicago men who came together against the Kansas-Nebraska Act and built the Republican Party in Illinois, and he led its organization for more than a quarter century. He was still at it in 1880, a delegate from the third district who helped put Garfield on the ticket."" category=politics"	OK nb_replace: 'Read law in Dwight family, married in' -> 'He ran the Illinois party for twenty-five years' placed verbatim in place	/person/elliott-anthony-1827		
X00639	nb_replace	"old=""Republican Party founder for over a quarter century"" header=""He wrote the state's constitutions down"" body=""The Constitutional History of Illinois, published in 1891, walked the state's law from the Northwest Ordinance through the conventions of 1818, 1848 and 1870, and argued that the exclusion of slavery had been deliberate from the start. He had sat in one of those conventions himself, elected from Cook County."" category=literature"	OK nb_replace: 'Republican Party founder for over a quarter century' -> 'He wrote the state's constitutions down' placed verbatim in place	/person/elliott-anthony-1827		
X00639	nb_replace	"old=""Won landmark railroad consolidation case"" header=""He sued the railroad that employed him"" body=""As general solicitor of the Galena and Chicago Union he ended up arguing against its own consolidation with the Chicago and North Western, on behalf of stockholders who had never consented. He won before Justice David Davis, and turned the work into a treatise on railroad mergers in 1865."" category=law"	OK nb_replace: 'Won landmark railroad consolidation case' -> 'He sued the railroad that employed him' placed verbatim in place	/person/elliott-anthony-1827		
X00639	nb_replace	"old=""Married two Dwight sisters, 13 years apart"" header=""Married two Dwight sisters, thirteen years apart"" body=""He married Mary Dwight at Catskill in July 1852; she died at thirty-nine, leaving four children. Thirteen years later he married her younger sister Elizabeth, who had no children of her own and raised Mary's four until her own death at thirty-eight."" category=family"	OK nb_replace: 'Married two Dwight sisters, 13 years apart' -> 'Married two Dwight sisters, thirteen years apart' placed verbatim in place	/person/elliott-anthony-1827		
X00639	nb_replace	"old=""He taught at Clinton Academy before the law"" header=""One of his pupils reached the White House"" body=""Between Hamilton and the bar he spent a year teaching at Clinton Academy in upstate New York. A boy named Grover Cleveland sat in his classroom."" category=education"	OK nb_replace: 'He taught at Clinton Academy before the law' -> 'One of his pupils reached the White House' placed verbatim in place	/person/elliott-anthony-1827		
