person_id	field	value_or_angle	status	slug	proposed	decision
HD2059	nb_replace	"old=""President of the American Institute of Mining"" header=""He led the mining engineers' institute"" body=""He was president of the American Institute of Mining and Metallurgical Engineers and took its Douglas medal. He had been president of the Colorado Scientific Society at thirty-one, and served Columbia as an alumni trustee."" category=career"	OK nb_replace: 'President of the American Institute of Mining' -> 'He led the mining engineers' institute' placed verbatim in place	/person/arthur-dwight-1864		
HD2059	nb_replace	"old=""World War I"" header=""A colonel of engineers in France"" body=""He came out of the war a lieutenant colonel of engineers, with the British Distinguished Service Order and a citation from General Pershing."" category=military"	OK nb_replace: 'World War I' -> 'A colonel of engineers in France' placed verbatim in place	/person/arthur-dwight-1864		
HD2059	nb_approved	"header=""His process for fine ore went worldwide"" body=""With R. L. Lloyd he worked out a way of roasting and agglomerating fine ores that had been all but unusable before. The Dwight and Lloyd sintering process went into smelters the world over, and he ran the company that licensed it."" category=science"	OK nb_approved appended verbatim: 'His process for fine ore went worldwide'	/person/arthur-dwight-1864		
HD2059	nb_approved	"header=""He turned a copper mine into an army"" body=""He was general manager at Cananea in Mexico in 1906, when a rising was planned to seize the mines and fund a revolt through the interior. He made a military unit of his workforce almost overnight and had the thing in hand before troops arrived."" category=business"	OK nb_approved appended verbatim: 'He turned a copper mine into an army'	/person/arthur-dwight-1864		
HD2059	nb_approved	"header=""Thirteen years from assayer to the top"" body=""He left the Columbia School of Mines in 1885 for Pueblo and started at the Colorado Smelting Company as an assayer. Thirteen years later he was its general superintendent, and had run smelters at Leadville, El Paso, Argentine and San Luis Potosi."" category=character"	OK nb_approved appended verbatim: 'Thirteen years from assayer to the top'	/person/arthur-dwight-1864		
HD2059	nb_approved	"header=""He took his mother's name for his own"" body=""He was born a Smith, son of Benjamin Pierce Smith, and his mother Elizabeth Fiske Dwight was dead before he was fourteen months old. He carried her surname the rest of his life, and with it a descent from Jonathan Edwards and Timothy Dwight."" category=family"	OK nb_approved appended verbatim: 'He took his mother's name for his own'	/person/arthur-dwight-1864		
HD2059	cc	"related=HD1410 link=""Edward Hubbard Russell"" label=""invented the leaching process that made low-grade silver ore pay"""	OK cc->HD1410 added; FLAG needs reciprocal cc row on HD1410	/person/arthur-dwight-1864		
HD1410	cc	"related=HD2059 link=""Arthur Smith Dwight"" label=""invented the sintering process that made fine ore usable"""	OK cc->HD2059 added (reciprocal present)	/person/edward-russell-1855		
X00663	bio_blurb	Brooklyn merchant	OK bio_blurb set	/person/benjamin-smith-1830		
HD2057	bio_blurb	Dwight daughter of Brooklyn	OK bio_blurb set	/person/elizabeth-smith-1833		
I02646	bio_blurb	New York publisher's daughter	OK bio_blurb set	/person/anne-howard-1875		
