person_id	field	value_or_angle	status	slug	proposed	decision
H01138	nb_replace	"old=""Society planned his hundredth birthday celebration"" header=""He died five weeks short of the party"" body=""The Farmington Ecclesiastical Society had a celebration ready for his hundredth birthday on the fourth of April 1885. He died on the twenty-seventh of February. He had been state senator, legislator, deputy sheriff, and justice of the peace for twenty-four years."" category=legacy"	OK nb_replace: 'Society planned his hundredth birthday celebration' -> 'He died five weeks short of the party' placed verbatim in place	/person/egbert-cowles-1785		
H01138	nb_replace	"old=""Five children died young, six survived"" header=""Five children died young, six survived"" body=""Eleven children came between 1813 and 1831, and five of them were dead before thirteen. The names Edgar, Arthur and Lucius were each given again to a later child."" category=family"	OK nb_replace: 'Five children died young, six survived' -> 'Five children died young, six survived' placed verbatim in place	/person/egbert-cowles-1785		
H01138	nb_replace	"old=""Authored a Plymouth Colony history at ninety-five"" header=""He published a history at ninety-five"" body=""District school was all the education he had, and at ninety-five he brought out Sketches of the Early Settlements of the Plymouth Colony. He had spent his hundred years in Farmington but for one southern winter, a few trips to Ohio, and a single journey to St. Louis."" category=literature"	OK nb_replace: 'Authored a Plymouth Colony history at ninety-five' -> 'He published a history at ninety-five' placed verbatim in place	/person/egbert-cowles-1785		
H01138	nb_replace	"old=""Carved the Morning Star steamer's axe helve"" header=""He carved an axe helve for a mission ship"" body=""He was twenty-five when the American Board of Commissioners for Foreign Missions was organised at Farmington in 1810, and remembered Governor Treadwell and Dr. Noah Porter framing it. Seventy-four years later he took stock in the mission steamer Morning Star and carved an axe helve for her cabin himself."" category=religion"	OK nb_replace: 'Carved the Morning Star steamer's axe helve' -> 'He carved an axe helve for a mission ship' placed verbatim in place (WARN header 9 words > 8)	/person/egbert-cowles-1785		
HD3681	bio_blurb	Farmington merchant; Galena dry-goods wholesaler	OK bio_blurb set	/person/lucius-cowles-1821		
HD3681	nb_replace	"old=""Captain Cowles' 1843 Training Day muster order"" header=""Armed and equipped as the law directs"" body=""He commanded the 1st Company of the 14th Connecticut militia infantry in 1842 and 1843. A muster order in his own hand survives, calling the company to parade on the first of May armed and equipped as the law directs, with twelve rounds of blank cartridge."" category=military"	OK nb_replace: 'Captain Cowles' 1843 Training Day muster order' -> 'Armed and equipped as the law directs' placed verbatim in place	/person/lucius-cowles-1821		
HD3681	nb_replace	"old=""From Farmington merchant to Galena wholesale"" header=""He went out to Galena and came home"" body=""He kept a store in Farmington until after 1850, then went west to Galena as a wholesale dry-goods merchant and on to Freeport in 1860. He and his wife both died back in Farmington, their names together on the Whitman monument."" category=business"	OK nb_replace: 'From Farmington merchant to Galena wholesale' -> 'He went out to Galena and came home' placed verbatim in place	/person/lucius-cowles-1821		
HD3683	notable_blurb	Travelling salesman for a New York clothier	OK notable_blurb set	/person/john-cowles-1824		
HD3683	nb_replace	"old=""Met Wilford Woodruff in Salt Lake City, 1870"" header=""The first man from home in twenty years"" body=""He called on the apostle Wilford Woodruff at his Salt Lake office in January 1870. Woodruff had been born at Farmington in 1807 and wrote in his journal that Cowles was the first man he had met from his native town in twenty years."" category=religion"	OK nb_replace: 'Met Wilford Woodruff in Salt Lake City, 1870' -> 'The first man from home in twenty years' placed verbatim in place	/person/john-cowles-1824		
HD3683	nb_replace	"old=""Distant cousin of the Mormon apostle"" header=""Distant cousin of the Mormon apostle"" body=""His mother Sophia Woodruff came down from Matthew Woodruff, the 1640 Farmington proprietor, through five generations of Samuels. Wilford Woodruff came down from the same Matthew. It is probably why the apostle sent for him."" category=family"	OK nb_replace: 'Distant cousin of the Mormon apostle' -> 'Distant cousin of the Mormon apostle' placed verbatim in place	/person/john-cowles-1824		
HD3683	nb_replace	"old=""Founding families gone, property in other hands"" header=""Two founding families swept out of town"" body=""What he had to tell Woodruff was that nearly all the families of the Cowleses and the Demings were dead and their property gone into other hands. Two centuries after Farmington was founded, two of its founding families were gone from it."" category=legacy"	OK nb_replace: 'Founding families gone, property in other hands' -> 'Two founding families swept out of town' placed verbatim in place	/person/john-cowles-1824		
HD3683	nb_replace	"old=""Traveling salesman for a New York clothing store"" header=""He travelled for a New York clothier"" body=""The family genealogy of 1873 has him a travelling salesman for a clothing store in New York City, still living at Farmington twenty years later. He died there at eighty-one."" category=career"	OK nb_replace: 'Traveling salesman for a New York clothing store' -> 'He travelled for a New York clothier' placed verbatim in place	/person/john-cowles-1824		
HD3684	field_set	bio.display_name=Alfred Cowles	OK set bio.display_name = 'Alfred Cowles'	/person/alfred-cowles-1826		
HD3684	field_set	bio.suffix=null	OK set bio.suffix = None	/person/alfred-cowles-1826		
HD3684	cc	"related=H01554 link=""Charles Edward Phelps"" label=""took the Medal of Honor at Laurel Hill two days before he was hit"""	OK cc->H01554 added; FLAG needs reciprocal cc row on H01554	/person/alfred-cowles-1826		
H01554	cc	"related=HD3684 link=""Alfred Cowles"" label=""was wounded at Laurel Hill two days after he led the charge there"""	OK cc->HD3684 added (reciprocal present)	/person/charles-phelps-1833		
I02681	nb_approved	"header=""His namesake was San Jose's first doctor"" body=""Dr. Benjamin Cory crossed the plains at twenty-five and reached San Jose on the first of December 1847, the first American-trained physician to settle there. The pueblo held six or eight hundred people - Ohlone, Californios, Mexicans, trappers and traders - and he got there before the gold was found the following summer."" category=family"	OK nb_approved appended verbatim: 'His namesake was San Jose's first doctor'	/person/benjamin-cory-1896		
I02681	nb_approved	"header=""Good government came out of the office"" body=""The doctor was elected first assemblyman for the San Jose district, from Monterey to Martinez, and sat on the committees for public buildings and education. The legislators met in his office before the State House was ready, and it was said afterwards that more good government came out of Doctor Cory's office than out of both houses and the City Hall together."" category=politics"	OK nb_approved appended verbatim: 'Good government came out of the office'	/person/benjamin-cory-1896		
I02681	nb_approved	"header=""A weaver's Great Bible went down the line"" body=""The family traced to John Cory, born in England in 1611, a weaver who settled at Southold on Long Island; his 1685 will left his son an iron kettle, the Great Bible, and half his weaving tackle. Corys were among the first to buy town rights in the Westfields, and gave the Presbyterian church there seven elders and three ministers."" category=family"	OK nb_approved appended verbatim: 'A weaver's Great Bible went down the line'	/person/benjamin-cory-1896		
