person_id	field	value_or_angle	status	slug	proposed	decision
HD3692	photo_url	https://res.cloudinary.com/dc5clrqtw/image/upload/v1785110645/ecowles_petmjq.png	OK photo set: https://res.cloudinary.com/dc5clrqtw/image/uploa	/person/elizabeth-leavitt-1833		
HD3692	bio_blurb	Willoughby Seminary; merchant's wife of Nevada City	OK bio_blurb set	/person/elizabeth-leavitt-1833		
HD3692	field_set	death.city=Oakland	OK set death.city = 'Oakland'	/person/elizabeth-leavitt-1833		
HD3692	field_set	death.county=Alameda County	OK set death.county = 'Alameda County'	/person/elizabeth-leavitt-1833		
HD3692	field_set	death.state=California	OK set death.state = 'California'	/person/elizabeth-leavitt-1833		
HD3692	education_set	"index=0 school_name=""Willoughby Female Seminary"" dates=""Lake County, Ohio"" notes=null"	OK education[0] updated in place	/person/elizabeth-leavitt-1833		
HD3692	nb_replace	"old=""Willoughby Seminary then a Nevada City marriage"" header=""Music, art and poesy came to her call"" body=""The Cowles book called her accomplished, bright and winsome, and said music, art and poesy came responsive to her call. She had been schooled at the Willoughby Female Seminary in Lake County, Ohio, the same as her elder sister."" category=character"	OK nb_replace: 'Willoughby Seminary then a Nevada City marriage' -> 'Music, art and poesy came to her call' placed verbatim in place	/person/elizabeth-leavitt-1833		
HD3692	nb_approved	"header=""She married in her parents' San Jose house"" body=""Charles Carroll Leavitt was an enterprising merchant of Nevada City, and they married at her parents' home in San Jose in June 1863. All four of their children were born at Nevada City before the family moved down to Oakland."" category=marriage"	OK nb_approved appended verbatim: 'She married in her parents' San Jose house'	/person/elizabeth-leavitt-1833		
I02678	bio_blurb	Nevada City merchant; San Francisco Custom House	OK bio_blurb set	/person/charles-leavitt-1832		
I02678	career	"role=""Merchant"" organization=""Nevada City, California"" start_year=1860 end_year=1875"	OK career record appended	/person/charles-leavitt-1832		
I02678	career	"role=""Officer"" organization=""United States Custom House, San Francisco"" start_year=1876 end_year=1900"	OK career record appended	/person/charles-leavitt-1832		
I02678	nb_approved	"header=""From a mining-town store to the Custom House"" body=""He kept a store at Nevada City in the gold country, where all four of his children were born, and married Elizabeth Cowles at her parents' San Jose house in 1863. The family afterwards moved to Oakland and he spent many years in the Custom House at San Francisco."" category=career"	OK nb_approved appended verbatim: 'From a mining-town store to the Custom House'	/person/charles-leavitt-1832		
