person_id	field	value_or_angle	status	slug	proposed	decision
HD8141	nb_replace	"old=""She married her own stepbrother"" header=""Her surname reached her twice"" body=""Her mother's second marriage, in the spring of 1841, made Dr. Elial Todd Foote her stepfather; Amelia was fourteen. She later married Elial's son Charles, so the Foote name came to her once through her mother and once through herself."" category=marriage"	OK nb_replace: 'She married her own stepbrother' -> 'Her surname reached her twice' placed verbatim in place	/person/amelia-foote-1827		
I02648	nb_approved	"header=""The two households became one house"" body=""His mother died at Jamestown in 1840 and his father remarried the following spring, bringing Amelia Jenkins and her mother into the family; he was sixteen, she was fourteen, and from then on they were raised together. They married about 1852 and had six children in New Haven."" category=family"	OK nb_approved appended verbatim: 'The two households became one house'	/person/charles-foote-1825		
I02648	nb_approved	"header=""He kept his father's trade, not his bench"" body=""Elial Foote had given up medicine young for the courthouse and the land office; Charles took the degree and stayed with it, practising in New Haven where his father had retired. He died at forty-six in 1871, and Amelia outlived him by forty years."" category=career"	OK nb_approved appended verbatim: 'He kept his father's trade, not his bench'	/person/charles-foote-1825		
I02648	birth_date	1825	OK birth set 1825	/person/charles-foote-1825		
I02648	death_date	1871	OK death set 1871	/person/charles-foote-1825		
I02649	cc	"related=HD0993 link=""Julia Cowles Knevals"" label=""married the Knevals of Foote & Knevals, the 1896 Wall Street failure"""	OK cc->HD0993 added; FLAG needs reciprocal cc row on HD0993	/person/edward-hill-1853		
HD0993	cc	"related=I02649 link=""Edward Bruce Hill"" label=""married a Foote, and made partner at Sullivan and Cromwell in 1891"""	OK cc->I02649 added (reciprocal present)	/person/julia-knevals-1827		
HD0123	nb_replace	"old=""Webster squelched him; he fired back"" header=""He charged Webster and lost twice"" body=""In 1846 Ingersoll rose in the House and accused Daniel Webster of three counts of misconduct as Secretary of State; the committee that heard the charges exonerated Webster entirely. The next year Webster led the Senate in rejecting Polk's appointment of Ingersoll as minister to France. He left politics for good and gave his last years to writing."" category=politics"	OK nb_replace: 'Webster squelched him; he fired back' -> 'He charged Webster and lost twice' placed verbatim in place	/person/charles-ingersoll-1782		
HD0123	nb_replace	"old=""In 1837 the frontier acres went cheap"" header=""He thought Oregon was worth a war"" body=""In March 1846, with the northwestern boundary in dispute and the country arguing over how far to push Britain, he set out his expansionist case in a letter to an unnamed correspondent. It was printed more than a century later under the line that carried it: I consider Oregon worth a war."" category=politics"	OK nb_replace: 'In 1837 the frontier acres went cheap' -> 'He thought Oregon was worth a war' placed verbatim in place	/person/charles-ingersoll-1782		
HD0123	career	"role=""Chairman, House Committee on Foreign Affairs"" organization=""U.S. House of Representatives"" start_year=1841 end_year=1849"	OK career record appended	/person/charles-ingersoll-1782		
HD0123	field_set	death.cause=Inflammation of the lungs	OK set death.cause = 'Inflammation of the lungs'	/person/charles-ingersoll-1782		
HD0123	field_set	death.date_precision=exact	OK set death.date_precision = 'exact'	/person/charles-ingersoll-1782		
