person_id	field	value_or_angle	status	slug	proposed	decision
HD7264	cc	"related=HD5630 link=""Donald Russell Hooker II"" label=""made a 1972 record that found its audience decades later"""	OK cc->HD5630 added; FLAG needs reciprocal cc row on HD5630	/person/dudley-taft-1966		
HD5630	cc	"related=HD7264 link=""Dudley Taft"" label=""left a political dynasty for a guitar and the blues"""	OK cc->HD7264 added (reciprocal present)	/person/donald-hooker-1949		
HD5630	bio_blurb	Psychedelic singer-songwriter	OK bio_blurb set	/person/donald-hooker-1949		
X00158	nb_replace	"old=""Democrat 'when mewling in nurses' arms' line"" header=""He went over to the Liberty ticket"" body=""About 1843 he took up the anti-slavery cause and voted the Liberty ticket the next year. The papers he kept on that work are held by the Chautauqua County Historical Society."" category=social_reform"	OK nb_replace: 'Democrat 'when mewling in nurses' arms' line' -> 'He went over to the Liberty ticket' placed verbatim in place	/person/elial-foote-1796		
X00158	nb_approved	"header=""Twenty years first judge of Chautauqua"" body=""He was made an associate judge in 1818 and first judge of Chautauqua County in 1824, reappointed by governor after governor for twenty years. When he stepped down in 1843 the bar, the grand jury and the associate judges passed resolutions together, without regard to party."" category=law"	OK nb_approved appended verbatim: 'Twenty years first judge of Chautauqua'	/person/elial-foote-1796		
X00158	nb_approved	"header=""He was Jamestown's first doctor"" body=""He came to Jamestown in 1815, nineteen years old and the settlement's first settled physician. The practice grew fast, but doctoring a new country brought on asthma and he gave it up within a few years for public business."" category=career"	OK nb_approved appended verbatim: 'He was Jamestown's first doctor'	/person/elial-foote-1796		
X00158	nb_approved	"header=""He bought the land Jamestown stands on"" body=""In 1822 he bought a reserved tract from the Holland Land Company and put its water power to work, and much of the city was built on it. He gave land for four of its churches, and in 1831 got the county its own bank — the nearest until then being ninety miles off at Buffalo."" category=business"	OK nb_approved appended verbatim: 'He bought the land Jamestown stands on'	/person/elial-foote-1796		
X00158	nb_approved	"header=""Thirty-two volumes of scrapbooks"" body=""From the 1820s he gathered newspapers, letters and reminiscences of Chautauqua's early days, meaning to write its history himself. In 1873 he carried the volumes to an Old Settlers reunion and handed them to Andrew W. Young, who wrote it instead."" category=literature"	OK nb_approved appended verbatim: 'Thirty-two volumes of scrapbooks'	/person/elial-foote-1796		
X00250	nb_approved	"header=""A hymn the congregation thought was his"" body=""In 1827 he read out from the Portland pulpit the lines beginning Sweet is the last, the parting ray, and his people took them for his own. The hymn is still often credited to him, though nobody has ever proved it."" category=literature"	OK nb_approved appended verbatim: 'A hymn the congregation thought was his'	/person/charles-jenkins-1786		
X00250	nb_approved	"header=""Six years at Portland, then gone at forty-five"" body=""He came to the Third Congregational Church at Portland in the November of 1825, after the early twenties at Greenfield in Massachusetts. He died there in 1831, and a parishioner published a book of sketches of his character two years later."" category=religion"	OK nb_approved appended verbatim: 'Six years at Portland, then gone at forty-five'	/person/charles-jenkins-1786		
