person_id	field	value_or_angle	status	slug	proposed	decision
H03189	bio_blurb	Civil War captain and Bridgehampton miller	OK bio_blurb set	/person/roger-francis-1826		
HD0419	nb_replace	"old=""His short life seeded the Brooklyn Pierrepont line"" header=""His short life seeded the Brooklyn Pierrepont line"" body=""Hezekiah barely lived, but his line did not die with him. His son John kept the family's New Haven estate, and his grandson Hezekiah Beers Pierpont went on to found the Brooklyn Pierreponts."" category=legacy"	OK nb_replace: 'His short life seeded the Brooklyn Pierrepont line' -> 'His short life seeded the Brooklyn Pierrepont line' placed verbatim in place	/person/hezekiah-pierpont-1712		
HD1395	nb_replace	"old=""Co-founded Skull and Bones with Alphonso Taft"" header=""A quarrel over Phi Beta Kappa started it"" body=""The Yale debating societies fell out in 1832 over who should have the Phi Beta Kappa honours, and he and his classmate Alphonso Taft answered by founding a secret society of their own — Skull and Bones. They picked juniors not only for scholarship but for what they might become."" category=legacy"	OK nb_replace: 'Co-founded Skull and Bones with Alphonso Taft' -> 'A quarrel over Phi Beta Kappa started it' placed verbatim in place	/person/william-russell-1809		
HD1395	nb_replace	"old=""Donated his ancestor's sea chest, 1888"" header=""He died chasing boys off the birds"" body=""In the May of 1885 he saw boys throwing stones at the birds in the New Haven park and ran out to drive them off. The park was large and the boys were quick, and the effort burst a blood vessel. He was seventy-five and had not had a day's illness since childhood."" category=death"	OK nb_replace: 'Donated his ancestor's sea chest, 1888' -> 'He died chasing boys off the birds' placed verbatim in place	/person/william-russell-1809		
HD1395	nb_replace	"old=""Father of ten including Talcott Huntington Russell"" header=""John Brown named him in his will"" body=""He was Connecticut's man on the National Kansas Committee and John Brown was often a guest in his house. When Brown wrote his will he named Russell one of the trustees."" category=social_reform"	OK nb_replace: 'Father of ten including Talcott Huntington Russell' -> 'John Brown named him in his will' placed verbatim in place	/person/william-russell-1809		
HD1395	nb_approved	"header=""He drilled schoolboys for a coming war"" body=""About 1840 he put military drill and discipline into his New Haven school because he believed a civil war was coming; over three hundred of his pupils went on to fight for the Union. His own five sons were too young — the eldest about thirteen — so he hired five men to go in their places."" category=military"	OK nb_approved appended verbatim: 'He drilled schoolboys for a coming war'	/person/william-russell-1809		
HD1395	nb_approved	"header=""He walked twenty-six miles to college"" body=""His father died in 1828 and the family fortunes went with him, so he entered Yale with nothing and paid his own way through. He walked the twenty-six miles between New Haven and Middletown because he could not afford to ride, and graduated valedictorian of his class in 1833."" category=education"	OK nb_approved appended verbatim: 'He walked twenty-six miles to college'	/person/william-russell-1809		
X00449	bio_blurb	Daughter and wife of Yale men	OK bio_blurb set	/person/mary-hubbard-1816		
X00449	nb_approved	"header=""Her father taught surgery at Yale"" body=""Dr. Thomas Hubbard held the chair of surgery at the Yale Medical School until his death in 1838. Her only sister married a president of Hamilton College, and she married the man who founded Skull and Bones."" category=family"	OK nb_approved appended verbatim: 'Her father taught surgery at Yale'	/person/mary-hubbard-1816		
X00449	nb_approved	"header=""Ten children, six outlived their father"" body=""She married in the August of 1836 and bore ten children, six of whom were still living when the General died in 1885. She kept her health until the last and followed him five years later."" category=family"	OK nb_approved appended verbatim: 'Ten children, six outlived their father'	/person/mary-hubbard-1816		
