person_id	field	value_or_angle	status	slug	proposed	decision
HD1408	education	"institution_id=""INST022"" dates=""1872"" notes=""Ph.B."""	OK education record appended	/person/thomas-russell-1851		
HD1408	education	"school_name=""Yale School of Medicine"" dates=""1875"" notes=""M.D."""	OK education record appended	/person/thomas-russell-1851		
HD1408	career	"role=""Professor"" organization=""Yale University"" start_year=1883 end_year=1916"	OK career record appended	/person/thomas-russell-1851		
HD1408	nb_approved	"header=""He married a fifth cousin from New Haven"" body=""Mary Katie Munson was a daughter of Judge Lyman Ezra Munson, and like him a descendant of Rev. Samuel Hooker — five generations back on his side, six on hers. Neither family seems to have thought of it as anything but a New Haven match."" category=marriage"	OK nb_approved appended verbatim: 'He married a fifth cousin from New Haven'	/person/thomas-russell-1851		
HD1408	nb_approved	"header=""Thirty-three years on the Yale faculty"" body=""He took his Ph.B. at Yale in 1872 and his medical degree there in 1875, and joined the faculty in 1883. He was still teaching when he died in 1916."" category=career"	OK nb_approved appended verbatim: 'Thirty-three years on the Yale faculty'	/person/thomas-russell-1851		
HD1408	nb_approved	"header=""His father founded the society, he taught the sons"" body=""Gen. William Huntington Russell had co-founded Skull and Bones a generation earlier and run a school that turned out four thousand boys. The son stayed in New Haven too, and spent his life at the medical school."" category=family"	OK nb_approved appended verbatim: 'His father founded the society, he taught the sons' (WARN header 9 words > 8)	/person/thomas-russell-1851		
HD0571	bio_blurb	Judge's daughter of New Haven	OK bio_blurb set	/person/mary-russell-1856		
HD0571	nb_approved	"header=""Her marriage doubled the Hooker line"" body=""She married Thomas Hubbard Russell in 1882 — a fifth cousin once removed, both of them down from Rev. Samuel Hooker. The Skull and Bones founder's family reached Thomas Hooker twice over after that: by his own descent, and by his son's wife."" category=marriage"	OK nb_approved appended verbatim: 'Her marriage doubled the Hooker line'	/person/mary-russell-1856		
HD0571	nb_approved	"header=""Her father was Lincoln's judge in Montana"" body=""Lyman Ezra Munson went out to Helena in 1865 as the first judge of Montana Territory's supreme court, appointed by Lincoln himself. Her brother Edward became a brigadier general and designed the shoe the American army marched in."" category=family"	OK nb_approved appended verbatim: 'Her father was Lincoln's judge in Montana'	/person/mary-russell-1856		
HD0574	bio_blurb	New Haven man of the Russell family	OK bio_blurb set	/person/william-russell-1888		
HD0575	bio_blurb	Dartmouth professor's wife of Hanover	OK bio_blurb set	/person/eleanor-joyce-1892		
I02642	bio_blurb	Dartmouth professor of English	OK bio_blurb set	/person/hewette-joyce-1890		
I02642	education	"institution_id=""INST022"" dates=""1912"""	OK education record appended	/person/hewette-joyce-1890		
I02642	career	"role=""Professor of English"" organization=""Dartmouth College"" start_year=1919 end_year=1959"	OK career record appended	/person/hewette-joyce-1890		
I02642	career	"role=""Chairman, English Department"" organization=""Dartmouth College"" start_year=1936 end_year=1939"	OK career record appended	/person/hewette-joyce-1890		
I02642	nb_approved	"header=""Forty years in the Dartmouth English department"" body=""He came out of Yale in 1912 and joined Dartmouth in 1919, chairing the English department from 1936 to 1939. He retired as professor emeritus in 1959 and stayed in Hanover the rest of his life."" category=career"	OK nb_approved appended verbatim: 'Forty years in the Dartmouth English department'	/person/hewette-joyce-1890		
